Active Epicor Part,part_number,title,manufacturer,type,category,subcategory,short_description,long_description,features,upc,height,width,length,weight,instructions,warranty,Image,Data Sheet,Brochure,"If individual part, price available?",NOTES: CS DEPT
Yes,12-105-D,1/3 M DUAL ANCHOR ASSEMBLY,S.R. Smith,Deck Accessories,Diving,Parts,12-105-D -  - 1/3 M DUAL ANCHOR ASSEMBLY,1 & 3 Meter Deluxe Tower dual anchor assembly,,8.40671E+11,"17""","17""","10""",65 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,12-105-H,1/3 M HEEL ANCHOR ASSEMBLY,S.R. Smith,Deck Accessories,Diving,Parts,12-105-H -  - 1/3 M HEEL ANCHOR ASSEMBLY,1 & 3 Meter Deluxe Tower heel anchor assembly,,8.40671E+11,"17""","17""","10""",220 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,12-105-LR,1/3 M LT/RT ANCHOR ASSEMBLY,S.R. Smith,Deck Accessories,Diving,Parts,12-105-LR -  - 1/3 M LT/RT ANCHOR ASSEMBLY,1 & 3 Meter Deluxe Tower left or right anchor assembly,,8.40671E+11,"17""","17""","10""",85 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,25-104,DLS-100 HANDRAILS (PAIR) & MOUNTING KIT,S.R. Smith,Deck Accessories,Diving,Parts,25-104 -  - DLS-100 HANDRAILS (PAIR) & MOUNTING KIT,Pair of handrails and mounting kit for a 2/3 Meter Deck Level stand.,,8.40671E+11,"18""","36""","56""",32 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,25-104A,DLS-100 HANDRAILS (PAIR) LESS MOUNTING KIT,S.R. Smith,Deck Accessories,Diving,Parts,25-104A -  - DLS-100 HANDRAILS (PAIR) LESS MOUNTING KIT,Pair of handrails for a 2/3 Meter Deck Level stand.,,8.40671E+11,"18""","36""","56""",32 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,25-105,CARTON OF HARDWARE F/E-CAT-1M,S.R. Smith,Deck Accessories,Diving,Parts,25-105 -  - CARTON OF HARDWARE F/E-CAT-1M,Fulcrum assembly for Econoline 1 Meter stand.,,8.40671E+11,"4""","4""","27""",10 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,25-106,DLS/ECAT HANDRAILS & MOUNTING KIT,S.R. Smith,Deck Accessories,Diving,Parts,25-106 -  - DLS/ECAT HANDRAILS & MOUNTING KIT,Handrails and hardware for 2/3 Meter Deck Level Stand (DLS) or Econoline stand (E-CAT-).,,8.40671E+11,"2""","35""","68""",40 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,25-106A,DLS/ECAT HANDRAILS (PAIR) LESS MOUNTING KIT,S.R. Smith,Deck Accessories,Diving,Parts,25-106A -  - DLS/ECAT HANDRAILS (PAIR) LESS MOUNTING KIT,Handrails only for 2/3 Meter Deck Level Stand (DLS) or Econoline stand (E-CAT-).,,8.40671E+11,"2""","35""","68""",40 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,25-200,DLS/ECAT HANDRAIL BRACKET HARDWARE KIT,S.R. Smith,Deck Accessories,Diving,Parts,25-200 -  - DLS/ECAT HANDRAIL BRACKET HARDWARE KIT,Handrail bracket and hardware for 2/3 Meter Deck Level Stand (DLS) or Econoline stand (E-CAT-).,,8.40671E+11,"2.5""","8.5""","8.25""",8 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,66-209-206S2-1,6' GLAS-HIDE - RADIANT WHITE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-206S2-1 -  - 6' GLAS-HIDE - RADIANT WHITE,"The Glas-Hide Diving Board is intended for heavy duty use on residential pools. It features a non-slip tread for maximum safety, and comes in 6', 8', and 10' lengths.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","74""",57 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127017/glas-hide-diving-board.jpg,,,,
Yes,66-209-206S3-1,6' GLAS-HIDE - MARINE BLUE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-206S3-1 -  - 6' GLAS-HIDE - MARINE BLUE,"The Glas-Hide Diving Board is intended for heavy duty use on residential pools. It features a non-slip tread for maximum safety, and comes in 6', 8', and 10' lengths.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","74""",57 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127017/glas-hide-diving-board.jpg,,,,
Yes,66-209-208S2-1,8' GLAS-HIDE - RADIANT WHITE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-208S2-1 -  - 8' GLAS-HIDE - RADIANT WHITE,"The Glas-Hide Diving Board is intended for heavy duty use on residential pools. It features a non-slip tread for maximum safety, and comes in 6', 8', and 10' lengths.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","98""",75 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127017/glas-hide-diving-board.jpg,,,,
Yes,66-209-208S3-1,8' GLAS-HIDE - MARINE BLUE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-208S3-1 -  - 8' GLAS-HIDE - MARINE BLUE,"The Glas-Hide Diving Board is intended for heavy duty use on residential pools. It features a non-slip tread for maximum safety, and comes in 6', 8', and 10' lengths.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","98""",75 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127017/glas-hide-diving-board.jpg,,,,
Yes,66-209-210S2-1,10' GLAS-HIDE - RADIANT WHITE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-210S2-1 -  - 10' GLAS-HIDE - RADIANT WHITE,"The Glas-Hide Diving Board is intended for heavy duty use on residential pools. It features a non-slip tread for maximum safety, and comes in 6', 8', and 10' lengths.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","122""",95 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127017/glas-hide-diving-board.jpg,,,,
Yes,66-209-210S3-1,10' GLAS-HIDE - MARINE BLUE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-210S3-1 -  - 10' GLAS-HIDE - MARINE BLUE,"The Glas-Hide Diving Board is intended for heavy duty use on residential pools. It features a non-slip tread for maximum safety, and comes in 6', 8', and 10' lengths.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","122""",95 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127017/glas-hide-diving-board.jpg,,,,
Yes,66-209-2122-1,12' GLAS-HIDE - RADIANT WHITE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-2122-1 -  - 12' GLAS-HIDE - RADIANT WHITE,"The Glas-Hide Diving Board is intended for heavy duty use on residential pools. It features a non-slip tread for maximum safety, and comes in 6', 8', and 10' lengths.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","146""",122.5 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127017/glas-hide-diving-board.jpg,,,,
Yes,66-209-2123-1,12' GLAS-HIDE - MARINE BLUE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-2123-1 -  - 12' GLAS-HIDE - MARINE BLUE,"The Glas-Hide Diving Board is intended for heavy duty use on residential pools. It features a non-slip tread for maximum safety, and comes in 6', 8', and 10' lengths.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","146""",122.5 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127017/glas-hide-diving-board.jpg,,,,
Yes,66-209-220S2-1,10' SWIM CLUB COMMERCIAL - RADIANT WHITE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-220S2-1 -  - 10' SWIM CLUB COMMERCIAL - RADIANT WHITE,"The Swim Club Board is the ideal mid-range board for commercial pools. It is available in 10', 12', 14' and 16' lengths. It has a durable acrylic outer body and a non-slip tread. ",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","122""",100 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127011/swim-club-diving-board.jpg,,,,
Yes,66-209-220S3-1,10' SWIM CLUB COMMERCIAL - MARINE BLUE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-220S3-1 -  - 10' SWIM CLUB COMMERCIAL - MARINE BLUE,"The Swim Club Board is the ideal mid-range board for commercial pools. It is available in 10', 12', 14' and 16' lengths. It has a durable acrylic outer body and a non-slip tread. ",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","122""",100 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127011/swim-club-diving-board.jpg,,,,
Yes,66-209-2222-1,12' SWIM CLUB COMMERCIAL - RADIANT WHITE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-2222-1 -  - 12' SWIM CLUB COMMERCIAL - RADIANT WHITE,"The Swim Club Board is the ideal mid-range board for commercial pools. It is available in 10', 12', 14' and 16' lengths. It has a durable acrylic outer body and a non-slip tread. ",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","146""",125 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127011/swim-club-diving-board.jpg,,,,
Yes,66-209-2223-1,12' SWIM CLUB COMMERCIAL - MARINE BLUE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-2223-1 -  - 12' SWIM CLUB COMMERCIAL - MARINE BLUE,"The Swim Club Board is the ideal mid-range board for commercial pools. It is available in 10', 12', 14' and 16' lengths. It has a durable acrylic outer body and a non-slip tread. ",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","146""",125 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127011/swim-club-diving-board.jpg,,,,
Yes,66-209-2242-1,14' SWIM CLUB COMMERCIAL - RADIANT WHITE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-2242-1 -  - 14' SWIM CLUB COMMERCIAL - RADIANT WHITE,"The Swim Club Board is the ideal mid-range board for commercial pools. It is available in 10', 12', 14' and 16' lengths. It has a durable acrylic outer body and a non-slip tread. ",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","170""",200 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127011/swim-club-diving-board.jpg,,,,
Yes,66-209-2243-1,14' SWIM CLUB COMMERCIAL - MARINE BLUE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-2243-1 -  - 14' SWIM CLUB COMMERCIAL - MARINE BLUE,"The Swim Club Board is the ideal mid-range board for commercial pools. It is available in 10', 12', 14' and 16' lengths. It has a durable acrylic outer body and a non-slip tread. ",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","170""",200 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127011/swim-club-diving-board.jpg,,,,
Yes,66-209-2262-1,16' SWIM CLUB COMMERCIAL - RADIANT WHITE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-2262-1 -  - 16' SWIM CLUB COMMERCIAL - RADIANT WHITE,"The Swim Club Board is the ideal mid-range board for commercial pools. It is available in 10', 12', 14' and 16' lengths. It has a durable acrylic outer body and a non-slip tread. ",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","194""",230 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127011/swim-club-diving-board.jpg,,,,
Yes,66-209-2263-1,16' SWIM CLUB COMMERCIAL - MARINE BLUE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-2263-1 -  - 16' SWIM CLUB COMMERCIAL - MARINE BLUE,"The Swim Club Board is the ideal mid-range board for commercial pools. It is available in 10', 12', 14' and 16' lengths. It has a durable acrylic outer body and a non-slip tread. ",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","194""",230 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127011/swim-club-diving-board.jpg,,,,
Yes,66-209-2442-1,14' EUREKA - RADIANT WHITE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-2442-1 -  - 14' EUREKA - RADIANT WHITE,The Eureka is the ultimate board for heavy-duty use on commercial pools. It is available in both 14' and 16' lengths. The Eureka Boards feature a durable acrylic outer body (skin) and a non-slip tread. The entire core is reinforced with fiberglass. ,Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","170""",205 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127008/eureka-diving-board.jpg,,,,
Yes,66-209-2443-1,14' EUREKA - MARINE BLUE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-2443-1 -  - 14' EUREKA - MARINE BLUE,The Eureka is the ultimate board for heavy-duty use on commercial pools. It is available in both 14' and 16' lengths. The Eureka Boards feature a durable acrylic outer body (skin) and a non-slip tread. The entire core is reinforced with fiberglass. ,Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","170""",205 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127008/eureka-diving-board.jpg,,,,
Yes,66-209-2462-1,16' EUREKA - RADIANT WHITE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-2462-1 -  - 16' EUREKA - RADIANT WHITE,The Eureka is the ultimate board for heavy-duty use on commercial pools. It is available in both 14' and 16' lengths. The Eureka Boards feature a durable acrylic outer body (skin) and a non-slip tread. The entire core is reinforced with fiberglass. ,Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","194""",235 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127008/eureka-diving-board.jpg,,,,
Yes,66-209-2463-1,16' EUREKA - MARINE BLUE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-2463-1 -  - 16' EUREKA - MARINE BLUE,The Eureka is the ultimate board for heavy-duty use on commercial pools. It is available in both 14' and 16' lengths. The Eureka Boards feature a durable acrylic outer body (skin) and a non-slip tread. The entire core is reinforced with fiberglass. ,Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","194""",235 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127008/eureka-diving-board.jpg,,,,
Yes,66-209-266S10,6' FIBRE-DIVE - TAUPE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-266S10 -  - 6' FIBRE-DIVE - TAUPE,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","74""",36 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
Yes,66-209-266S10T,6' FIBRE-DIVE (TAUPE) MATCHING TREAD,S.R. Smith,Deck Accessories,Diving,Boards,66-209-266S10T -  - 6' FIBRE-DIVE (TAUPE) MATCHING TREAD,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","74""",36 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
Yes,66-209-266S20,6' FIBRE-DIVE - PEWTER GRAY,S.R. Smith,Deck Accessories,Diving,Boards,66-209-266S20 -  - 6' FIBRE-DIVE - PEWTER GRAY,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","74""",36 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
Yes,66-209-266S20T,6' FIBRE-DIVE (PG) MATCHING TREAD,S.R. Smith,Deck Accessories,Diving,Boards,66-209-266S20T -  - 6' FIBRE-DIVE (PG) MATCHING TREAD,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","74""",36 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
Yes,66-209-266S21,6' FIBRE-DIVE - SILVER GRAY,S.R. Smith,Deck Accessories,Diving,Boards,66-209-266S21 -  - 6' FIBRE-DIVE - SILVER GRAY,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","74""",36 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
Yes,66-209-266S2-1,6' FIBRE-DIVE - RADIANT WHITE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-266S2-1 -  - 6' FIBRE-DIVE - RADIANT WHITE,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","74""",36 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
Yes,66-209-266S21T,6' FIBRE-DIVE (SG) MATCHING TREAD,S.R. Smith,Deck Accessories,Diving,Boards,66-209-266S21T -  - 6' FIBRE-DIVE (SG) MATCHING TREAD,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","74""",36 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
Yes,66-209-266S23,6' FIBRE-DIVE (PEBBLE) CLEAR TREAD,S.R. Smith,Deck Accessories,Diving,Boards,66-209-266S23 -  - 6' FIBRE-DIVE (PEBBLE) CLEAR TREAD,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","74""",36 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
Yes,66-209-266S24,6' FIBRE-DIVE (GRAY GRANITE) CLEAR TREAD,S.R. Smith,Deck Accessories,Diving,Boards,66-209-266S24 -  - 6' FIBRE-DIVE (GRAY GRANITE) CLEAR TREAD,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","74""",36 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
Yes,66-209-266S3-1,6' FIBRE DIVE - MARINE BLUE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-266S3-1 -  - 6' FIBRE DIVE - MARINE BLUE,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","74""",36 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
Yes,66-209-266S3T,6' FIBRE DIVE (MB) MATCHING TREAD,S.R. Smith,Deck Accessories,Diving,Boards,66-209-266S3T -  - 6' FIBRE DIVE (MB) MATCHING TREAD,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","74""",36 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
Yes,66-209-268S10,8' FIBRE-DIVE - TAUPE,S.R. Smith,Deck Accessories,Diving,Boards,66-209-268S10 -  - 8' FIBRE-DIVE - TAUPE,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","98""",59 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
Yes,66-209-268S10T,8' FIBRE-DIVE (TAUPE) MATCHING TREAD,S.R. Smith,Deck Accessories,Diving,Boards,66-209-268S10T -  - 8' FIBRE-DIVE (TAUPE) MATCHING TREAD,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","98""",59 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
Yes,66-209-268S20,8' FIBRE-DIVE - PEWTER GRAY,S.R. Smith,Deck Accessories,Diving,Boards,66-209-268S20 -  - 8' FIBRE-DIVE - PEWTER GRAY,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","98""",59 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
Yes,66-209-268S20T,8' FIBRE-DIVE (PG) MATCHING TREAD,S.R. Smith,Deck Accessories,Diving,Boards,66-209-268S20T -  - 8' FIBRE-DIVE (PG) MATCHING TREAD,"The Fibre-Dive Board is perfect for light to moderate use on residential pools.  This board comes in 6', 8' and 10' lengths and features a sanded tread for maximum slip resistance.",Weight capacity is 250 lbs. ,8.40671E+11,"3""","20""","98""",59 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,http://www.srsmith.com/media/127013/fibre-dive-diving-board.jpg,,,,
