part_number,title,upc,price,og_oem,main_man,department,product_line,manufacturer
V38-137,Ultra-Flow Locking Ring,811636022751,16.98,39105000,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-138,"Ultra-Flow Trap 2"" 94-Present",811636022768,54.85,39202010,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-138-1,"Ultra-Flow Trap 2"" 94-Present Assembley",811636022775,119.24,,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-139,Ultra-Flow Pump Base,811636022782,20.49,,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-143S,Ultra-Flow Trap Gasket,811636022812,2.03,39501200,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-143,Ultra-Flow Trap Gasket (12/Bag),811636022812,1.35,39501200,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-144,"Ultra-Flow Seal Kit (Seal, Gasket & O-Rings) ",811636022829,37.47,,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-166,"Ultra-Flow Pump Lid Clamp, Americana 1 & 2 (pre-94)",811636022959,33.52,39303000,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-163,Ultra-Flow Volute Clamp,811636022935,35.03,39302800,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-185S,Ultra Flow Pump Basket ,811636023000,16.61,39303500,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-185,Ultra Flow Pump Basket Qty. (12/Box),811636023000,13.29,39303500,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
,Pentair/American Products Skimmer Parts,,,,,,>,Val-Pak
V38-125S,American Tapered Skimmer Basket ,811636022638,12.93,85014500,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
V38-125,American Tapered Skimmer Basket Qty. (20/Box),811636022638,10.34,85014500,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
V38-135S,American Skimmer Basket ,811636020061,12.12,R38013A,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
V38-135,American Skimmer Basket (24/Box),811636020061,9.7,R38013A,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
V38-136,American Skimmer Float ,811636022744,6.64,R38013B,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
V38-099,Brass Diverter (Vari-Flo),811636022430,57.82,850025,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
V38-100,American Thread Lock Diverter,811636022447,10.73,,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
V38-101,American Commercial Diverter,811636022454,15.33,,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
V50-115W,"American Skimmer Lid - 9 1/8"" dia. White",811636024137,4.27,85007400,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
V50-115G,"American Skimmer Lid - 9 1/8"" dia. Gray",811636024106,4.27,85007413,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
V50-115T,"American Skimmer Lid - 9 1/8"" dia. Tan",811636024120,4.27,85007430,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
V50-115R,"American Skimmer Lid - 9 1/8"" dia. Red",811636024113,4.27,,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
V50-115GR,"American Skimmer Lid - 9 1/8"" dia. Green",811636024601,4.27,,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
V50-350,"Throttling Plug W/O-Ring 1-1/2""",811636024199,4.64,,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
V50-350-1,Throttling Plug O-Ring ,811636024618,0.67,,American Products/Pentair,Skimmer Parts,American Products/Pentair>Skimmer Parts,Val-Pak
,Pentair/American Products Return Fittings,,,,,,>,Val-Pak
V20-386,"Return Fitting - White 1/2""",811636024625,1.54,540014,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-387,"Return Fitting - White 3/4""",811636024632,1.54,540021,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-388,"Return Fitting - White 1""",811636024649,1.54,540028,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-406,"Return Fitting - Black 1/2""",811636024656,1.54,540015,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-391,"Return Fitting - Black 3/4""",811636024663,1.54,540022,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-392,"Return Fitting - Black 1""",811636024670,1.54,540029,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-394,"Return Fitting - Light Gray 1/2""",811636024687,1.54,,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-395,"Return Fitting - Light Gray 3/4""",811636024694,1.54,,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-396,"Return Fitting - Light Gray 1""",811636024700,1.54,,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-398,"Return Fitting - Dark Gray 1/2""",811636024717,1.54,540016,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-399,"Return Fitting - Dark Gray 3/4""",811636024724,1.54,540023,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-400,"Return Fitting - Dark Gray 1""",811636024731,1.54,540030,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-377,Blank Return Fitting - White,811636020733,1.82,,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-378,Blank Return Fitting - Black,811636020740,1.82,,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-379,Blank Return Fitting - Dark Gray,811636020757,1.82,,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-380,Blank Return Fitting - Light Gray,811636020764,1.82,,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-402,90 Degree Return Fitting - White,811636020795,2.43,,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-403,90 Degree Return Fitting - Black,811636024748,2.43,,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-404,90 Degree Return Fitting - Dark Gray,811636024755,2.43,,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V20-405,90 Degree Return Fitting - Light Gray,811636024762,2.43,,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
V50-007,Wall Fitting Wrench,811636024052,34.75,,American Products/Pentair,Return Fittings,American Products/Pentair>Return Fittings,Val-Pak
,Pentair/American Products Filter Parts,,,,,,>,Val-Pak
V20-225,FNS Plus/4000 Air Relief/Gauge,811636020092,22.9,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-149,Eclipse Filter Lid,811636020931,21.63,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-146S,FNS Plus Tank Clamp Nut ,811636022843,8.63,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-146,FNS Plus Tank Clamp Nut (10/Bag),811636022843,5.92,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V20-824,FNS Plus 24 sq. ft Filter Element,811636024786,140.6,59023800,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V20-836,FNS Plus 36 sq. ft. Filter Element,811636020900,124.37,59023500,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V20-848,FNS Plus 48 sq. ft. Filter Element,811636020917,137.35,59023400,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V20-860,FNS Plus 60 sq. ft. Filter Element,811636021013,150.33,59023300,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V20-872,FNS Plus 72 sq. ft. Filter Element,811636021020,297.41,195060,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-190,24' American Products OEM Filter Grid - Full (25/Box),811636024793,9.71,59001100,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-191,36' American Products OEM Filter Grid - Full (25/Box),811636024809,12.45,59001800,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-192,48' American Products OEM Filter Grid - Full (25/Box),811636024816,15.25,59002400,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-193,60' American Products OEM Filter Grid - Full (25/Box),811636023017,18.73,59003000,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-194,72' American Products OEM Filter Grid - Full (25/Box),811636024823,21.38,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-195,24' American Products OEM Filter Grid - Partial (8/Box),811636024830,10.96,59001000,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-196,36' American Products OEM Filter Grid - Partial (8/Box),811636024847,13.16,59001700,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-197,48' American Products OEM Filter Grid - Partial (8/Box),811636023024,16.21,59002300,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-198,60' American Products OEM Filter Grid - Partial (8/Box),811636023031,17.83,59002900,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-199,72' American Products OEM Filter Grid - Partial (8/Box),811636024854,22.15,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-150,Commander Filter Lid,811636022850,44.05,57005600,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-152,Commander Filter Knob,811636022874,13.34,57006900,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-153S,Knob O-Ring ,811636022881,2.13,57006700,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-153,Knob O-Ring (12/Bag),811636022881,1.42,57006700,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-151S,Commander Filter Lid O-Ring,811636022867,2.52,57007300,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-151,Commander Filter Lid O-Ring (12/Bag),811636022867,1.68,57007300,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-140S,FNS Plus/American Top Manifold W/Air Relief Screen ,811636020016,37.11,59023700/59000399,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-140,FNS Plus/American Top Manifold W/Air Relief Screen (12/Box),811636022553,29.69,59023700/59000400,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-142S,FNS Plus/American  Bottom Spreader ,811636022805,25.63,59000500,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-142,FNS Plus/American  Bottom Spreader (6/Box),811636022805,20.49,59000500,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-141S,Universal Filter Templet ,811636022799,8.2,98725800,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-141,Universal Filter Templet (15/Box),811636022799,5.46,98725800,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-159,"18"" S.S Polished Tank Lid 13"" x 18 1/2""",811636024861,241.82,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-158,"12"" S.S Tank Clamp",811636024878,32.87,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-220,"Quantum Manifold - CM, RPM & S.S.",811636023048,37.47,56626800,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-221,"Quantum Manifold Gasket - CM, RPM & S.S.",811636023055,38.61,57000300,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-222,Quantum Manifold Support Ring,811636023062,11.86,59004000,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-145,"Piston, Cap & Handle 2"" (Brass)",811636020078,64.26,51013811,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-104,"Piston & Shaft 1 1/2"" - 16"" Short with O-Ring",811636022485,90.85,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-111,"Piston & Shaft 1 1/2"" - 18"" Long with O-Ring",811636024885,90.85,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-105,"Piston & Shaft 2"" - 16"" Long with O-ring",811636024892,90.85,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-102S,"Piston O-Ring Set 1.5"" ",811636022461,2.26,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-102,"Piston O-Ring Set 1.5"" (25/Bag)",811636022461,1.5,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-103S,"Brass Piston O-Ring Set 2"" - Old Style ",811636022478,2.26,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-103,"Brass Piston O-Ring Set 2"" - Old Style (25/Bag)",811636022478,1.5,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-121S,"Plastic Piston O-Ring Set 2"" - New Style ",811636022591,2.26,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-121,"Plastic Piston O-Ring Set 2"" - New Style (25/Bag)",811636022591,1.5,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-115S,"Celcon Air Relief Valve 1/4"" ",811636022539,6.81,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-115,"Celcon Air Relief Valve 1/4"" (50/Bag)",811636022539,4.54,982058,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-156S,Repl. Valve Stem O-Ring ,811636022898,0.29,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-156,Repl. Valve Stem O-Ring (100/Bag),811636022898,0.19,,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-106,"Tie Rod - 24sqft - 15 1/2""",811636024908,10.05,590008,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-107,"Tie Rod - 36sqft - 21 1/2""",811636022492,11.16,590015,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-108,"Tie Rod - 48sqft - 27 1/2""",811636022508,12.57,590021,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-109,"Tie Rod - 60sqft - 33 1/2""",811636022515,12.57,590027,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
V38-110,"Tie Rod - 72sqft - 39 1/2""",811636024915,14.05,590033,American Products/Pentair,Filter Parts,American Products/Pentair>Filter Parts,Val-Pak
,Anthony Pump Parts,,,,,,>,Val-Pak
V34-001,3/4 HP AR Pump Impeller,811636024922,36.34,,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V34-002,1 HP AR Pump Impeller,811636021716,36.34,,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V34-003,1 1/2 HP AR Pump Impeller,811636021723,43.7,,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V34-004,2 HP AR Pump Impeller,811636021730,43.7,,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V34-005,2 1/2 HP AR Pump Impeller,811636024939,43.7,,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V34-006,Brass Seal Plate - AR Pump,,170.17,,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V34-012,Seal Plate O-Ring - AR Pump,811636021754,4.68,,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V34-011,Diffuser 1 - 2 1/2 Horsepower - AR Pump,811636021747,12.25,,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V34-013,Diffuser Seal O-ring - AR Pump,811636021761,7.57,,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V40-453,1/2 HP Brass Impeller,811636023307,42.24,4381,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V40-454,3/4 HP Brass Impeller,811636023314,42.24,6323,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V40-455,1 HP Brass Impeller,811636023321,42.24,6324,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V40-456,1 1/2 HP Brass Impeller,811636023338,42.24,6325,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V40-457,2 HP Brass Impeller,811636023345,42.24,6326,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V40-469,Impeller Wrench,811636023406,22.57,,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V30-461,1/2 - 2 HP Bracket (w/ Foot),,107.57,4378,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V40-116S,Stub Shaft without O-Ring ,811636023093,14.38,,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V40-116,Stub Shaft without O-Ring (10/Bag),811636023093,9.59,4377,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V40-115S,H & F Gasket ,811636023086,2.75,,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V40-115,H & F Gasket (12/Bag),811636023086,1.71,G44,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V40-401S,1/4 x 20 Set Screw S.S. ,811636023147,0.72,,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V40-401,1/4 x 20 Set Screw S.S. (100/Bag),811636023147,0.48,,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V40-468,"Lock Handle, Bronze/S.S. Stud",811636023390,10.82,4390,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
V34-014,Heater Return Header,,127.34,15977,Anthony,Pump Parts,Anthony>Pump Parts,Val-Pak
,Anthony Filter Parts,,,,,,>,Val-Pak
V34-016,"Piston, Cap and Handle 1 1/2"" (Brass)",811636021785,119.81,4906,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-022,"Piston, Cap and Handle 2"" (Brass)",811636021839,129.48,4908,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-015,"Piston & Shaft 1 1/2"" - 16 1/2"" long",811636021778,74.96,4907,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-140,"Piston & Shaft 1 1/2"" - 17 1/2"" long",811636022041,109.4,,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-020,"Piston & Shaft 2"" - 16 1/2"" long",811636021815,80.57,4909,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-152,"Piston Cap 1 1/2"" - Brass",811636022133,33.98,17754,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-153,"Piston Cap 2"" - Brass",811636022140,35.85,17753,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-127,Piston Handle w/ Set Screw,811636021921,11.11,17604,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-135S,"1/4"" S.S. Set Screw ",811636022003,1.09,,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-135,"1/4"" S.S. Set Screw (25/Bag)",811636022003,0.73,24951,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-171,"2"" Rubber Hose w/ S.S. Clamp (2 Hoses, 4 Clamps)",811636022225,20.66,,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-172,"1 1/2"" Rubber Hose w/ S.S. Clamp (2 Hoses, 4 Clamps)",811636022232,19.45,,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-115S,"Piston O-Ring Set 1 1/2"" - Brass ",811636021846,2.35,,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-115,"Piston O-Ring Set 1 1/2"" - Brass (25/Bag)",811636021846,1.56,,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-120S,"Piston O-Ring Set 2"" - Brass (25/Bag)",811636021853,2.35,,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-120,"Piston O-Ring Set 2"" - Brass (25/Bag)",811636021853,1.56,,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-141S,"Piston O-Ring Set 2"" - Plastic ",811636022058,2.35,,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-141,"Piston O-Ring Set 2"" - Plastic (25/Bag)",811636022058,1.85,,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-021S,"Spring Pin, S.S. ",811636021822,1.12,,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-021,"Spring Pin, S.S. (25/Bag)",811636021822,0.75,,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-168,"2"" Brass Selector Valve (Threaded), Complete",811636027138,303.3,,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-143,"Grid Assembly, Complete VA-52-2""",811636022065,269.07,4794,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-144,"Grid Assembly, Complete VA-52-1 1/2""",811636022072,269.07,4773,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-145,"Grid Assembly, Complete VA-38",811636022089,223.34,4772,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-146,"Grid Assembly, Complete VA-32",811636026995,223.34,4771,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-147,"Grid Assembly, Complete VA-26",811636022096,223.34,4770,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-128S,"Filter Grid 13.5"" x 24"" ",811636021938,15.49,,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
V34-128,"Filter Grid 13.5"" x 24"" (25/Bag)",811636021938,12.39,17564,Anthony,Filter Parts,Anthony>Filter Parts,Val-Pak
