company,abbreviation,website,phone,class,,
GENESIS 3,GEN,www.genesis3.com,(877) 513-5800,M,,
GLI POOL PRODUCTS,GLI,www.glipoolproducts.com,(800) 448-2343,M,,
GLOBAL LIFT CORP,GLO,,(989) 269-5900,M,,
GPS MOBILE SOLUTIONS,GPS,,(919) 612-5090,M,,
GRAND EFFECTS INC.,GRA,www.grandeffectsinc.com,(949) 697-5270,M,,
"GRILLBOT, LLC",GRI,www.grillbots.com,(646) 369-7242,M,,
GROSFILLEX,GRO,,(800) 233-3186,M,,
GWTC INC.,GWT,www.gwtcinc.com,(817) 594-8087,M,,
"H2FLOW CONTROLS, INC.",H2F,www.h2flow.net,(888) 635-0296,M,,
HACH CO,HAC,www.aquachek.com,(800) 548-4381,M,,
HALCO LIGHTING TECHNOLOGIES,HAL,www.halcolighting.com,(800) 677-3334,M,,
HAMMER-HEAD PATENTED PERFORMANCE INC,HAM,www.hammerheadvac.com,(866) 887-7983,M,,
HARMSCO,HAR,www.harmsco.com,(800) 327-3248,M,,
HARRINGTON INDUSTRIAL PLASTICS,HARR,www.harringtonplastics.com,(909) 597-8641,D,,
HAVILAND CONSUMER PROD/CONTOURED PLASTICS,HAV,www.proteampoolcare.com,(616) 361-2929,M,,
HAYWARD POOL PRODUCTS,HAY,www.haywardindustries.com,(800) 429-9273,M,,
HINSPERGERS POLY INDUSTRIES,HIN,www.yardguardpoolproducts.com,(800) 595-9917,M,,
HOMEADVISOR.INC,HOM,www.servicemagic.com/ext/474925,(303) 963-7200,M,,
HORIZON SPA & POOL PARTS INC.,HOR,www.horizonparts.net,(800) 874-7727,D,,
HORIZON VENTURES,HOR,www.midwestcanvas.com,(773) 287-7131,M,,
HVAC-CONCEPT INC.,HVA,www.hvac-concept.com,(819) 841-0236,M,,
HYDRO POOL AND SPA INC.,HYDP,NONE AT THIS TIME,(301) 258-9595,M,,
HYDRO-QUIP,HYDQ,www.hydroquip.com,(951) 273-7575,M,,
IMPERIAL POOLS MANUFACTURING,IMP,www.imperialpools.com,(800) 444-9977,M,,
INDUSTRIAL TEST SYSTEMS INC.,IND,www.poolcheckonline.com,(800) 861-9712,M,,
INFINITE THERAPEUTICS,INF,www.infinitymassagechairs.com,(603) 347-6006,M,,
INFORESIGHT - SOLAIRA,INFO,www.in-foresight.com/solairaheaters/,(905) 568-7655,M,,
INFUSION POOL PRODUCTS,INFU,,(800) 557-8018,M,,
INLAYS MANUFACTURING INC.,INL,www.inlaysinc.com,(800) 426-6873,M,,
INNOVA PRODUCTS LIMITED,INN,www.clickclack.com,(262) 884-6044,M,,
INSPARATION,INS,www.insparation.com,(805) 553-0820,M,,
INTER-FAB INC.,INT,www.inter-fab.com,(800) 737-5386,M,,
INTERMATIC INCORPORATED,INTE,www.intermatic.com,(815) 675-7000,M,,
INT'L LEISURE PROD. INC. BY SWIMLINE,INTL,www.swimline.com,(631) 254-2155,M,,
IPG,IPG,,(613) 224-3294,M,,
IPS CONTROLLERS,IPS,www.ipscontrollers.com,(951) 693-3223,M,,
IPS CORPORATION,IPSC,www.ipscorp.com,(800) 421-2677,M,,
J & J ELECTRONICS,JJE,www.jandjpoolspa.com,(800) 735-4553,M,,
JACK'S MAGIC,JAC,www.jacksmagic.com,(800) 348-1656,M,,
JERITH,JER,,(800) 344-2242,M,,
KAFKO POOL PROD/DIV OF LATHAM INT'L,KAF,www.kafko.com,(800) 833-3800,M,,
KELLEY TECHNICAL COATINGS,KEL,www.kelleytech.com,(800) 458-2842,M,,
KEMP USA LLC,KEM,www.kempusa.com,(914) 819-5401,M,,
KING TECHNOLOGY INC.,KIN,www.kingtechnology.com,(952) 933-6118,M,,
KONA LABS,KON,www.konalabs.com,(808) 345-2046,M,,
LAMOTTE COMPANY,LAM,www.lamotte.com,(410) 778-3100,M,,
LASCO,LAS,www.lascofittings.com,(714) 690-9679,M,,
LEADER SPORTS,LEA,www.zleader.com,(800) 847-2001,M,,
LOCHINVAR CORP,LOC,www.lochinvar.com,(615) 889-8900,M,,
LONZA PRO-DEALER GRP-ARCH/ADVANTIS BRANDS,LON,www.AdvantisTech.com,(800) 445-2059,M,,
LOOP-LOC LTD.,LOO,www.looploc.com,(800) 562-5667,M,,
LUXURY POOLS,LUX,,(215) 259-1500,M,,
MAGIC PLASTICS INC.,MAG,www.magicplastics.com,(800) 369-0303,M,,
MASTER TILE,MAS,www.mastertilepool.com,(832) 467-8850,M,,
MAYTRONICS US INC.,MAY,www.maytronicsus.com,(888) 365-7446,M,,
MERLIN INDUSTRIES INC.,MER,www.merlinindustries.com,(609) 807-1000,M,,
MEYCO PRODUCTS INC.,MEY,www.meycoproducts.com,(800) 446-3926,M,,
MIDWEST CANVAS,MID,www.midwestcanvas.com,(800) 433-4701,M,,
MIKISE FILTER TOOLS,MIK,www.filterflosser.com,(480) 840-9020,M,,
"MISTY MATE, INC.",MIS,www.mistymate.com,(480) 967-6446,M,,
MODERN STONE TECHNOLOGIES,MOD,www.modernstonecare.com/outdoorprotection,(866) 868-0810,M,,
MORTEX,MOR,www.mortex.com,(800) 338-3225,M,,
"MORTON SALT, INC.",MOR,www.mortonsalt.com,(855) 292-0921,M,,
MP INDUSTRIES INC.,MP,www.mp-industries.com,(714) 375-7771,M,,
MULTICOAT CORP.,MUL,www.multicoat.com,(877) 685-8426,M,,
MYM AUSTIN INC.,MYM,www.poolbuildermarketing.com,(877) 634-8787,M,,
NATIONAL POOL TILE GROUP,NAT,www.nptgonline.com,(714) 630-2216,M,,
NATURAL CHEMISTRY,NATU,www.naturalchemistry.com,(800) 753-1233,M,,
NDS INC.,NDS,www.ndspro.com,(800) 726-1994,M,,
NEPTUNE-BENSON,NEP,www.neptunebenson.com,(800) 832-8002,M,,
NIDEC MOTOR CORPORATION/EMERSON,NI,www.emersonmotors.com,(866) 278-6920,M,,
NIRVANA HEAT PUMP USA LLC,NIR,www.nirvanahp.com,(819) 538-7770,M,,
NORTH AMERICAN SALT CO,NOR,www.nasalt.com,(800) 835-2139,M,,
NOVAGARD,NOV,www.novagard.com,(800) 380-0138,M,,
NSI INDUSTRIES (FMR. STINGL),NSI,www.stinglproducts.com,(800) 841-2505,M,,
NTI GLOBAL,NTI,,(800) 947-7767,M,,
OCEAN BLUE WATER PRODUCTS,OCE,www.oceanbluewp.com,(773) 626-3701,M,,
ODYSSEY SYSTEMS,ODY,www.odysseysystems.com,(949) 498-9454,M,,
OLYMPIC SPA COVERS,OLY,NONE AVAILABLE AT THIS TIME,(714) 434-0400,M,,
OPTIMUS LLC,OPT,www.optimusparts.com,(901) 365-1269,M,,
ORENDA TECHNOLOGIES,ORE,www.orendatech.com,(866) 763-4269,M,,
OREQ CORPORATION,OREQ,www.oreqcorp.com,(800) 420-3255,M,,
OUTDOOR SOLUTIONS,OUT,,(941) 724-1658,M,,
OZONE JOE'S,OZO,www.ozonejoes.com,(256) 489-2896,M,,
"PARAGON AQUATICS/DIV OF PENTAIR, INC.",PAR,www.paragonaquatics.com,(845) 452-5500,M,,
PARAMOUNT POOL & SPA SYSTEMS,PARA,www.1paramount.com,(800) 621-5886,M,,
PARTY POOL! LLC,PART,www.partypoolusa.com,(602) 866-1688,M,,
PEBBLE TECHNOLOGY INTERNATIONAL,PEB,www.pebbletec.com,(800) 937-5058,M,,
PENTAIR WATER POOL AND SPA INC.,PEN,www.pentairpool.com,(800) 831-7133,M,,
PERMA-CAST COMPANY,PER,www.permacastonline.com,(800) 748-2770,M,,
PLASTIMAYD LLC,PLA,www.plastimayd.com,(800) 348-2600,M,,
PLEATCO,PLE,www.pleatco.com,(800) 886-5160,M,,
POLYAIR,POL,www.polyair.com,(800) 668-4886,M,,
POOL CORP,PCOR,www.poolcorp.com,(985) 892-5521,M,,
"POOL COVER SPECIALISTS NATIONAL, INC.",PCOV,,(801) 636-0509,M,,
POOL MISER,PMIS,www.poolmiser.com,(707) 763-7613,M,,
POOL PRINT STORE PWRD BY THE BERNARD GRP,PPRI,www.barnardgroup.com,(952) 227-1075,M,,
POOL TOOL INC.,PTOO,www.pooltool.com,(805) 644-2333,M,,
POOLGUARD/PBM INDUSTRIES,PGUA,www.poolguard.com,(812) 346-2648,M,,
POOLMASTER,PMAS,www.poolmaster.com,(800) 854-1776,M,,
"POOLRX WORLDWIDE, INC",PRX,www.poolrx.com,(949) 635-5854,M,,
POWER VAC CORPORATION,POW,www.powervaccorp.com,(954) 491-0188,M,,
PRAHER,PRA,www.prahervalves.com,(705) 725-1100,M,,
PRIMO GRILLS AND SMOKERS,PRI,www.primogrill.com,(770) 492-3920,M,,
PRISTINEBLUE,PRIS,http://www.pristineblue.com,(479) 271-7381,M,,
PURITY POOL INC.,PUR,www.puritypool.com,(800) 257-1961,M,,
"QCA SPAS, INC./ THERASAUNA",QCA,www.qcaspas.com,(563) 359-3881,M,,
RADIANT POOLS,RAD,www.radiantpools.com,(518) 434-4161,M,,
RAYNER COVERING SYSTEMS INC.,RAYN,www.raynercovering.com,(847) 695-2264,M,,
RAYPAK INC.,RAY,www.raypak.com,(805) 278-5300,M,,
RB CONTROL SYSTEMS,RBC,www.rbcontrolsystems.com,(412) 829-8991,M,,
RED LEOPARD LLC,RED,www.red-leopard.net,(352) 746-3869,M,,
REGAL BELOIT (FORMERLY A.O. SMITH),REG,www.aosmithmotors.com,(800) 233-3717,M,,
Report Printed:4/8/2015 ,,,,M,,
RETROSPECTIVE PUBLISHING,RET,,(936) 890-9726,M,,
RJE TECHNOLOGIES INC.,RJE,www.aquaguardpoolalarm.com,(949) 943-3329,M,,
ROBERT H. PETERSON CO.,ROB,www.rhpeterson.com,(626) 369-5085,M,,
ROLA-CHEM/PARADISE INDUSTRIES,ROL,www.rola-chem.com,(800) 549-4473,M,,
ROMAN FOUNTAINS,ROM,www.romanfountains.com,(800) 794-1801,M,,
ROPER PRODUCTS,ROP,www.roperproducts.net,(801) 368-7990,M,,
ROSSETTI ENTERPRISES,ROS,www.rossettienterprises.com,(480) 502-2390,M,,
RULE INDUSTRIES,RUL,www.rule-industries.com,(978) 281-0440,M,,
RYAN HERCO (FMR NETWORK PIPING),RYA,www.networkpiping.com,(818) 841-1141,M,,
S.R. SMITH LLC,SRM,www.srsmith.com,(800) 824-4387,M,,
SAFTRON,SAF,www.saftron.com,(305) 233-5511,M,,
SALINE GENERATING SYSTEMS LLC,SAL,www.sgschlorinators.com,(480) 385-3052,M,,
SANTA BARBARA CONTROL SYSTEMS,SAN,www.sbcontrol.com,(800) 621-2279,M,,
SEAKLEAR (HALOSOURCE INC.),SEA,www.seaklear.com,(866) 995-5327,M,,
SGS INSTRUMENTS LLC,SGS,www.sgsinstruments.com,(480) 385-3052,M,,
"SIDER-CRETE, INC.",SID,www.sider-crete.com,(478) 892-9800,M,,
SIMPOOLTEC,SIM,http://www.simpooltec.com,(800) 630-2456,M,,
SKIMLITE MFG.,SKI,www.Skimlite.com,(831) 422-1722,M,,
SMALL SCREEN PRODUCER,SMA,,(281) 935-4260,M,,
SMART POOL,SMAR,www.smartpool.com,(888) 560-7665,M,,
SNTECH INC.,SNT,http://www.sntech.com,(480) 776-0500,M,,
SOLAR FACTORY POOL PRODUCTS INC.,SFAC,,(916) 365-4309,M,,
SOLAR POOL TECHNOLOGIES INC.,SPOO,,(623) 582-2825,M,,
SOLAXX,SXX,www.solaxx.com,(877) 976-5299,M,,
SOUTHERN GROUTS & MORTARS INC.,SGR,www.sgm.cc,(954) 943-2288,M,,
SPA PARTS PLUS,SPAP,www.spaparts.com,(800) 521-7587,D,,
SPABERRY (VISIONWERX),SPAB,,(403) 931-3340,M,,
SPAZAZZ LLC,SPAZ,www.spazazz.com,(877) 772-9299,M,,
SPEARS,SPE,www.conelyco.com,(801) 266-6452,M,,
SPECCHEM DIRECT INC.,SPEC,www.specchem.net,(253) 277-3143,M,,
SPECK PUMPS INC.,SPECK,www.usa.speck-pumps.com,(904) 739-2626,M,,
SPECTRUM PRODUCTS,SPECT,,(406) 532-6349,M,,
SPLASHLIGHTS LLC,SPL,,(561) 740-8047,M,,
SPRINT AQUATICS,SPR,www.sprintaquatics.com,(805) 541-5330,M,,
STAPLES,STA,www.stapleslink.com,(800) 378-2753,M,,
STEGMEIER LLC,STE,www.stegmeier.com,(800) 382-5430,M,,
STETSON DEVELOPMENT INC. - POUR A LID,STET,www.pouralid.com,(951) 246-9253,M,,
STYLEGUARD SYSTEMS,STY,www.styleguardsystems.com,(855) 487-8953,M,,
SUMMERSET OUTDOOR LIVING,SUM,,(951) 684-5090,M,,
SUNSOLAR ENERGY TECHNOLOGIES,SUN,www.sunsolar.com,(888) 357-6527,M,,
SWIMLINE,SWI,www.swimline.com,(631) 254-2155,M,,
SWIMWAYS CORP.,SWIM,www.swimways.com,(800) 889-7946,M,,
"T2 PRODUCTS, LLC",T2P,,(704) 663-1899,M,,
TAYLOR TECHNOLOGIES INC,TAY,www.taylortechnologies.com,(800) 837-8548,M,,
TELESCOPE CASUAL FURNITURE INC.,TEL,www.telescopecasual.com,(800) 451-0938,M,,
TEXAS RECREATION,TEXR,www.texasrec.com,(940) 322-4463,M,,
TEXAS SPA COVERS,TEXS,www.texasspacovers.com,(512) 756-2043,M,,
THE DECOR GROUP/NITE TIME DECOR,TDEC,,(806) 722-1225,M,,
THE GREAT AMERICAN WATERFALL COMPANY,THRE,www.gawcinc.com,(888) 683-0042,M,,
THE OUTDOOR PLUS,TOUT,www.theoutdoorplus.com,(909) 786-1642,M,,
THE SMART CO.,TSMA,www.thesmartco.com,(877) 600-1302,M,,
ULTRAPURE WATER QUALITY INC.,ULT,www.waterquality.net,(877) 281-7603,M,,
UNICEL,UNI,www.unicelfilters.com,(800) 345-6650,M,,
UNITED CHEMICAL CORPORATION,UNIT,www.swimpool.com,(800) 524-5550,M,,
US SEAL MFG.,US,www.ussealmfg.com,(800) 243-5489,M,,
USA POOL & TOY,USA,www.USAPoolToy.com,(877) 950-7665,M,,
VAC ALERT INDUSTRIES LLC,VAC,www.vac-alert.com,(800) 374-7405,M,,
VACLESS SYSTEMS,VACL,www.vacless.com,(818) 701-6200,M,,
VAL-PAK PRODUCTS,VAL,www.val-pakproducts.com,(661) 252-0115,M,,
VALTERRA PRODUCTS LLC.,VALT,www.valterra.com,(818) 898-1671,M,,
VALUTECH INC.,VALU,www.valutechinc.com,(905) 940-0961,M,,
WATER TECH,WTEC,www.watertechcorp.com,(800) 298-8800,M,,
"WATERCO USA, INC",WUSA,www.waterco.com,(706) 793-7291,M,,
WATERSHAPE CONSULTING INC,WCON,www.watershapeconsulting.com,(858) 720-1001,M,,
WATERSHAPE PRODUCTS INC.,WPRO,www.watershapeproducts.com,(858) 720-1001,M,,
WATERWAY,WAT,www.waterwayplastics.com,(805) 981-0262,M,,
XMENTE SWIMMING POOL ACADEMY,XME,,(770) 925-4474,M,,
ZEOTECH CORPORATION,ZEO,www.zeobrite.com,(800) 575-7877,M,,
ZODIAC POOL SYS - SAVI DIV (NEXT STEP),ZOD2,www.nextstepproduct.com,(407) 857-9900,M,,
ZODIAC POOL SYSTEMS,ZOD,www.zodiacpoolcare.com,(800) 822-7933,M,,
