•ÈÀoperation,sku,upc,item_name,Error Codes,Error Descriptions,Warning Codes,Warning Descriptions,our_price,our_price_UOM,product_type,product_description,brand_name,Webstore Categories,platinum_keywords,RestockDate,are_batteries_included,batteries_required,battery_type_9v,battery_type_a,battery_type_aa,battery_type_aaa,battery_type_c,battery_type_cr123a,battery_type_cr2,battery_type_cr5,battery_type_d,battery_type_lithium_ion,battery_type_lithium_metal,battery_type_p76,battery_type_product_specific,bullet_point,can_be_giftmessaged,can_be_giftwrapped,color_map,color_name,country_of_origin,country_string,cpsia_cautionary_statement,custom_meta_description,custom_number_1,custom_number_2,custom_number_3,custom_number_4,custom_number_5,custom_page_title,custom_text_1,custom_text_10,custom_text_2,custom_text_3,custom_text_4,custom_text_5,custom_text_6,custom_text_7,custom_text_8,custom_text_9,discounted_price,discounted_price_UOM,discounted_price_end_date,discounted_price_start_date,ean,email_me_when_available,external_testing_certification,fulfilled_by_amazon,generic_keywords,hazmat_type,image_main,image_pt01,image_pt02,image_pt03,image_pt04,image_pt05,image_pt06,image_pt07,image_pt08,image_swch,is_discontinued_by_manufacturer,item_classification,item_display_depth,item_display_depth_UOM,item_display_diameter,item_display_diameter_UOM,item_display_height,item_display_height_UOM,item_display_length,item_display_length_UOM,item_display_weight,item_display_weight_UOM,item_display_width,item_display_width_UOM,item_height,item_height_UOM,item_length,item_length_UOM,item_package_quantity,item_type_keyword,item_weight,item_weight_UOM,item_width,item_width_UOM,list_price,list_price_UOM,lithium_battery_packaging,manufacturer,marketplace_search_indexability,marketplaces,material_type,matte_style,max_order_quantity,missing_keyset_reason,model,moisture_needs,number_of_lithium_ion_cells,number_of_lithium_metal_cells,number_of_pieces,occasion,offer_inventory_leadtime,offer_inventory_quantity,offering_condition,offering_condition_note,offering_end_date,offering_start_date,offering_subcondition,package_height,package_height_UOM,package_length,package_length_UOM,package_weight,package_weight_UOM,package_width,package_width_UOM,part_number,pattern_name,po_box_shipping_excluded,product_tax_code,release_date,size_name,specific_uses_keywords,specification_met,style_name,sunlight_exposure,sunset_climate_zone,suppressed_comparison_engine,target_audience_keywords,telling_page_indicator,thesaurus_attribute_keywords,thesaurus_subject_keywords,usda_hardiness_zone,variation_theme_id,volume_capacity_name,warranty_description,website_shipping_weight,website_shipping_weight_UOM
UPDATE,"""350105S""","""788379787912""",MTR PKG 3.2KW PMSM VFD,,,,,535,USD,MISC_OTHER,MTR PKG 3.2KW PMSM VFD,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,11.5,IN,22.5,IN,,,24,LB,9.25,IN,,,,Pentair,,"www.amazon.com,www.allpoolspa.com",,,,,,,,,,,10,2,New,,,2014-10-03T19:31:12Z,New,,,,,,,,,"""350105S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""071362S""","""788379804961""",MTR PKG 20HP 3PH 208-220/440V C PUMP,8541,"Error Code: 8541, Marketplace: ; Description: SKU 071362S, ASIN B008HLH1K6, ('item_name' Merchant: 'MTR PKG 20HP 3PH 208-220/440V C PUMP' / Amazon: 'Pentair 071362S 3-Phase 20 HP Motor Replacement C-Series Commercial High Performance Pool and Spa Pump (Discontinued by Manufacturer)', 'part_number' Merchant: '071362S' / Amazon: ''). The product_id provided with 071362S corresponds to ASIN B008HLH1K6, but some of the information submitted contradicts information in the Amazon catalog. If your product is the same as this ASIN, please modify your product data to reflect the following Amazon catalog values and resubmit. If your product is different than the ASIN, please check that the product_id is correct. If it is correct, please contact Seller Support for proper resolution.Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/8541; ",,,"5,394",USD,MISC_OTHER,MTR PKG 20HP 3PH 208-220/440V C PUMP,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,,,,,,,157,LB,,,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:29:59Z,New,,,,,,,,,"""071362S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""350159S""","""788379804688""",MTR PKG EQ 5HP 1PH 60HZ 208 230V,,,,,"1,490",USD,MISC_OTHER,MTR PKG EQ 5HP 1PH 60HZ 208 230V,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,15,IN,22,IN,,,123,LB,15,IN,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:31:13Z,New,,,,,,,,,"""350159S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""072740S""","""788379805005""",MTR PKG 10HP 3PH 380/415V 50Hz C PUMP,,,,,"1,110",USD,MISC_OTHER,MTR PKG 10HP 3PH 380/415V 50Hz C PUMP,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,,,,,,,,,,,,,,Pentair,,"www.amazon.com,www.allpoolspa.com",,,,,,,,,,,10,2,New,,,2014-10-03T19:29:59Z,New,,,,,,,,,"""072740S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""350112S""","""788379804732""",MTR PKG EQ EXPL PF 10HP 3PH 50HZ 230 400V,8541,"Error Code: 8541, Marketplace: ; Description: SKU 350112S, ASIN B008HLLC88, ('item_name' Merchant: 'MTR PKG EQ EXPL PF 10HP 3PH 50HZ 230 400V' / Amazon: 'Pentair 350112S 10 HP Motor Replacement EQ-Series EQK1000 EXPL PF Commercial Plastic Pool and Spa Pump (Discontinued by Manufacturer)', 'part_number' Merchant: '350112S' / Amazon: ''). The product_id provided with 350112S corresponds to ASIN B008HLLC88, but some of the information submitted contradicts information in the Amazon catalog. If your product is the same as this ASIN, please modify your product data to reflect the following Amazon catalog values and resubmit. If your product is different than the ASIN, please check that the product_id is correct. If it is correct, please contact Seller Support for proper resolution.Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/8541; ",,,"1,745",USD,MISC_OTHER,MTR PKG EQ EXPL PF 10HP 3PH 50HZ 230 400V,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,,,,,,,,,,,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:31:15Z,New,,,,,,,,,"""350112S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""353317S""","""788379858292""",MTR PKG 5HP EE FULLRATED ALMND,,,,,550,USD,MISC_OTHER,MTR PKG 5HP EE FULLRATED ALMND,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,11.5,IN,22.5,IN,,,48,LB,9,IN,,,,Pentair,,"www.amazon.com,www.allpoolspa.com",,,,,,,,,,,10,2,New,,,2014-10-03T19:31:17Z,New,,,,,,,,,"""353317S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""350155S""","""788379804657""",MTR PKG EQ 5HP 3PH 50HZ 230 400V,8541,"Error Code: 8541, Marketplace: ; Description: SKU 350155S, ASIN B008HLLEDQ, ('item_name' Merchant: 'MTR PKG EQ 5HP 3PH 50HZ 230 400V' / Amazon: 'Pentair 350155S 5 HP Motor Replacement EQ-Series EQK500 Commercial Plastic Pool and Spa Pump (Discontinued by Manufacturer)', 'part_number' Merchant: '350155S' / Amazon: ''). The product_id provided with 350155S corresponds to ASIN B008HLLEDQ, but some of the information submitted contradicts information in the Amazon catalog. If your product is the same as this ASIN, please modify your product data to reflect the following Amazon catalog values and resubmit. If your product is different than the ASIN, please check that the product_id is correct. If it is correct, please contact Seller Support for proper resolution.Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/8541; ",,,"1,363",USD,MISC_OTHER,MTR PKG EQ 5HP 3PH 50HZ 230 400V,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,15,IN,22,IN,,,69,LB,15,IN,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:31:15Z,New,,,,,,,,,"""350155S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""350731Z""","""788379864705""",MTR PKG EQ 5HP TEFC 3PH 60HZ 208-230/460V,,,,,"1,052",USD,MISC_OTHER,MTR PKG EQ 5HP TEFC 3PH 60HZ 208-230/460V,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,9,IN,12,IN,,,68,LB,7,IN,,,,Pentair,,"www.amazon.com,www.allpoolspa.com",,,,,,,,,,,10,2,New,,,2014-10-03T19:31:11Z,New,,,,,,,,,"""350731Z""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""072744S""","""788379805029""",MTR PKG 20HP 3PH 380/415V 50Hz C PUMP,,,,,"5,394",USD,MISC_OTHER,MTR PKG 20HP 3PH 380/415V 50Hz C PUMP,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,15,IN,23,IN,,,160,LB,17,IN,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:30:01Z,New,,,,,,,,,"""072744S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""071363S""","""788379804909""",MTR PKG 10HP 3PH 208-220/440V C PUMP,8541,"Error Code: 8541, Marketplace: ; Description: SKU 071363S, ASIN B008GTWKAA, ('item_name' Merchant: 'MTR PKG 10HP 3PH 208-220/440V C PUMP' / Amazon: 'Pentair 071363S 3-Phase 10 HP Motor Replacement C-Series Commercial High Performance Pool and Spa Pump (Discontinued by Manufacturer)', 'part_number' Merchant: '071363S' / Amazon: ''). The product_id provided with 071363S corresponds to ASIN B008GTWKAA, but some of the information submitted contradicts information in the Amazon catalog. If your product is the same as this ASIN, please modify your product data to reflect the following Amazon catalog values and resubmit. If your product is different than the ASIN, please check that the product_id is correct. If it is correct, please contact Seller Support for proper resolution.Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/8541; ",,,"2,804",USD,MISC_OTHER,MTR PKG 10HP 3PH 208-220/440V C PUMP,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,15,IN,23,IN,,,132,LB,17,IN,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:29:59Z,New,,,,,,,,,"""071363S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""071320S""","""788379746728""",MTR PKG W/SWTCH SQFL 1.5 HPF 2A 60HZ 2SP ALMD 23,,,,,360,USD,MISC_OTHER,MTR PKG W/SWTCH SQFL 1.5 HPF 2A 60HZ 2SP ALMD 23,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,11.5,IN,22.5,IN,,,36.5,LB,9.25,IN,,,,Pentair,,"www.amazon.com,www.allpoolspa.com",,,,,,,,,,,10,2,New,,,2014-10-03T19:29:56Z,New,,,,,,,,,"""071320S""",,,,,,,,,,,,,,,,,,,,,
